tipo;temp_aire_k;temp_proceso_k;velocidad_rpm;torque_nm;torque_predicho;residual;desgaste_min;nivel_desgaste;falla_maquina
L;298,8;309,1;1439;39,2;44,807520121919815;-5,607520121919812;104;Moderado (100-200 min);0
H;298,9;309,2;1379;50,7;47,71185642585543;2,9881435741445728;106;Moderado (100-200 min);0
L;298,8;309,1;1350;52,5;49,11240692887013;3,3875930711298707;111;Moderado (100-200 min);0
L;298,8;309,1;1362;45,4;48,52976016207588;-3,1297601620758826;113;Moderado (100-200 min);0
L;298,8;309,1;1368;50,8;48,237685173483015;2,5623148265169817;115;Moderado (100-200 min);0
M;298,8;309,1;1368;49,1;48,23618196309153;0,8638180369084694;117;Moderado (100-200 min);0
H;298,8;309,2;1372;48,5;48,029051950086426;0,47094804991357364;120;Moderado (100-200 min);0
M;298,8;309,1;1472;47,5;43,19359163270163;4,306408367298367;125;Moderado (100-200 min);0
L;298,8;309,1;1489;49,1;42,36805011221048;6,7319498877895185;128;Moderado (100-200 min);0
M;298,7;309,0;1843;25,8;25,22269025562416;0,5773097443758424;130;Moderado (100-200 min);0
L;298,8;309,1;1418;46,3;45,80272479494814;0,4972752050518565;133;Moderado (100-200 min);0
H;298,8;309,2;1425;53,9;45,45106049803809;8,44893950196191;135;Moderado (100-200 min);0
M;298,9;309,2;1412;44,1;46,088157069092595;-1,988157069092594;140;Moderado (100-200 min);0
L;298,9;309,1;2861;4,6;-24,076021503511576;28,676021503511578;143;Moderado (100-200 min);1
L;298,9;309,1;1383;54,9;47,49998998303752;7,400010016962476;145;Moderado (100-200 min);0
H;298,8;309,0;1497;43,8;41,97750125450651;1,8224987454934904;147;Moderado (100-200 min);0
L;298,7;309,0;1565;35,1;38,669313997981895;-3,5693139979818937;152;Moderado (100-200 min);0
L;298,7;309,0;1691;30,1;32,565803445361375;-2,4658034453613737;154;Moderado (100-200 min);0
L;298,8;309,1;1512;40,7;41,23314668362441;-0,533146683624409;156;Moderado (100-200 min);0
L;298,8;309,1;1477;42,4;42,92664551274099;-0,5266455127409913;158;Moderado (100-200 min);0
L;298,8;309,1;1513;40,3;41,18171163314121;-0,8817116331412151;160;Moderado (100-200 min);0
M;298,8;309,0;1661;29,5;34,02393190573258;-4,5239319057325815;162;Moderado (100-200 min);0
L;298,8;309,1;1378;54,4;47,71581861669361;6,684181383306388;165;Moderado (100-200 min);0
L;298,8;309,1;1393;52,6;46,98788596079867;5,61211403920133;167;Moderado (100-200 min);0
M;298,8;309,0;1592;38,2;37,36024611867829;0,8397538813217125;169;Moderado (100-200 min);0
L;298,8;309,0;1829;22,9;25,88040606413645;-2,980406064136453;172;Moderado (100-200 min);0
M;298,9;309,0;1812;25,9;26,713471969579107;-0,8134719695791084;174;Moderado (100-200 min);0
L;299,0;309,1;1523;38,6;40,70721286967174;-2,1072128696717414;177;Moderado (100-200 min);0
L;299,0;309,1;1394;45,1;46,95300289060999;-1,8530028906099858;179;Moderado (100-200 min);0
M;298,9;308,9;1679;28,7;33,16037916195652;-4,460379161956521;181;Moderado (100-200 min);0
H;298,8;308,9;1466;44,1;43,46214006158816;0,6378599384118431;184;Moderado (100-200 min);0
L;298,8;308,9;1527;32,4;40,50423562389539;-8,104235623895391;189;Moderado (100-200 min);0
L;298,9;309,0;1410;65,7;46,16900382074413;19,530996179255872;191;Moderado (100-200 min);1
M;298,9;309,0;1924;22,6;21,2751849444342;1,3248150555658;193;Moderado (100-200 min);0
L;298,9;309,1;1452;45,5;44,12008266873878;1,3799173312612183;196;Moderado (100-200 min);0
L;298,9;309,1;1369;44,4;48,13815572346642;-3,73815572346642;198;Moderado (100-200 min);0
L;299,0;309,1;1592;35,0;37,34835050085378;-2,3483505008537833;200;Moderado (100-200 min);0
L;298,9;309,0;1601;32,3;36,91086789084695;-4,610867890846954;202;Alto (>200 min);0
L;298,8;308,9;1379;46,7;47,66039874159336;-0,9603987415933588;204;Alto (>200 min);0
L;298,8;308,9;1461;47,9;43,687747895782984;4,212252104217015;206;Alto (>200 min);0
L;298,8;308,9;1455;41,3;43,97681646359288;-2,6768164635928855;208;Alto (>200 min);1
L;298,8;308,9;1398;51,5;46,89358223722036;4,6064177627796425;0;Bajo (0-100 min);0
L;298,8;308,9;1402;37,9;46,69836450802795;-8,798364508027952;2;Bajo (0-100 min);0
H;298,8;308,8;1445;49,9;44,62559089914351;5,274409100856488;4;Bajo (0-100 min);0
L;298,9;308,9;1450;47,5;44,37981145697692;3,120188543023083;9;Bajo (0-100 min);0
L;298,9;308,9;1453;40,8;44,23302235748474;-3,433022357484745;11;Bajo (0-100 min);0
L;299,0;309,0;1469;40,1;43,45678280420284;-3,3567828042028367;13;Bajo (0-100 min);0
L;298,9;308,9;1422;47,6;45,73130345740891;1,8686965425910884;15;Bajo (0-100 min);0
M;299,0;309,0;1804;26,8;27,230185433842674;-0,4301854338426736;17;Bajo (0-100 min);0
H;299,0;309,0;1436;43,9;45,049666347940246;-1,1496663479402471;20;Bajo (0-100 min);0
L;299,0;309,0;1544;31,8;39,81561631433665;-8,01561631433665;25;Bajo (0-100 min);0
M;299,0;309,0;1419;45,2;45,86769181647397;-0,6676918164739689;27;Bajo (0-100 min);0
M;298,9;308,9;1487;39,5;42,57216844895781;-3,072168448957811;30;Bajo (0-100 min);0
L;298,9;308,9;1753;25,8;29,687898133109286;-3,8878981331092852;33;Bajo (0-100 min);0
L;298,9;308,9;1830;24,9;25,957390435800058;-1,057390435800059;35;Bajo (0-100 min);0
M;298,9;308,9;1727;27,1;30,94403608453231;-3,844036084532309;37;Bajo (0-100 min);0
L;299,1;309,0;1450;43,0;44,36791583915241;-1,3679158391524098;40;Bajo (0-100 min);0
L;299,0;308,9;1622;31,9;36,03656658800802;-4,136566588008023;42;Bajo (0-100 min);0
M;299,0;309,0;1351;52,2;49,14806134776203;3,051938652237972;44;Bajo (0-100 min);0
M;299,0;309,0;1575;35,3;38,29779347932318;-2,9977934793231853;47;Bajo (0-100 min);0
M;298,9;308,9;1750;29,9;29,820406733882365;0,07959326611763373;50;Bajo (0-100 min);0
L;298,9;308,8;1529;32,7;40,53203976066302;-7,832039760663015;53;Bajo (0-100 min);0
L;298,8;308,8;1523;44,4;40,809825917542696;3,5901740824573025;55;Bajo (0-100 min);0
L;298,8;308,9;1852;25,0;24,86414285715844;0,1358571428415587;57;Bajo (0-100 min);0
L;298,8;308,8;1991;20,7;18,142220797051877;2,5577792029481223;59;Bajo (0-100 min);0
L;298,8;308,8;1555;40,6;39,25560013596087;1,3443998640391328;61;Bajo (0-100 min);0
M;298,8;308,8;1441;40,5;44,77496071139565;-4,27496071139565;63;Bajo (0-100 min);0
L;298,8;308,7;1450;43,4;44,348008907123315;-0,9480089071233166;66;Bajo (0-100 min);0
L;298,8;308,7;1591;31,1;37,51806890899934;-6,418068908999338;68;Bajo (0-100 min);0
L;298,8;308,7;1445;48,5;44,5871456348415;3,912854365158502;70;Bajo (0-100 min);0
M;298,8;308,8;1497;46,8;42,05619300142107;4,7438069985789255;72;Bajo (0-100 min);0
H;298,9;308,8;1621;32,7;36,06007051393549;-3,36007051393549;75;Bajo (0-100 min);0
L;298,9;308,7;1572;34,1;38,44047602188503;-4,340476021885031;80;Bajo (0-100 min);0
L;298,8;308,6;1872;22,5;23,91026216911115;-1,4102621691111494;82;Bajo (0-100 min);0
H;298,7;308,6;1499;43,5;41,96135542597539;1,5386445740246089;84;Bajo (0-100 min);0
M;298,8;308,7;1498;39,5;42,00614776201019;-2,506147762010187;89;Bajo (0-100 min);0
M;298,8;308,6;1486;41,9;42,59619718144268;-0,6961971814426846;92;Bajo (0-100 min);0
L;298,8;308,6;1680;29,4;33,19878820401075;-3,798788204010748;95;Bajo (0-100 min);0
L;298,8;308,6;1431;45,7;45,256013788976645;0,44398621102335767;97;Bajo (0-100 min);0
L;298,9;308,7;1564;34,1;38,81362456076778;-4,7136245607677765;99;Bajo (0-100 min);0
L;298,8;308,6;1599;33,0;37,116997578554965;-4,116997578554965;101;Moderado (100-200 min);0
M;298,8;308,6;1707;28,1;31,885202360538592;-3,785202360538591;103;Moderado (100-200 min);0
L;298,7;308,5;1467;40,7;43,505696940693404;-2,8056969406934016;106;Moderado (100-200 min);0
L;298,9;308,7;1433;44,7;45,15101060473629;-0,4510106047362896;108;Moderado (100-200 min);0
L;298,9;308,7;1558;41,2;39,095928681816005;2,1040713181839976;110;Moderado (100-200 min);0
L;299,0;308,8;1310;50,7;51,10484736939493;-0,40484736939492905;112;Moderado (100-200 min);0
L;298,9;308,7;1546;43,4;39,674065817435796;3,7259341825642025;114;Moderado (100-200 min);0
L;298,9;308,7;1727;29,4;30,90698063130261;-1,5069806313026106;116;Moderado (100-200 min);0
L;298,9;308,6;1560;32,2;39,00421925946656;-6,8042192594665565;118;Moderado (100-200 min);0
L;299,0;308,6;1329;60,5;50,20101192075854;10,298988079241461;120;Moderado (100-200 min);0
L;298,9;308,6;1413;46,5;46,12022140461747;0,37977859538253256;122;Moderado (100-200 min);0
L;299,0;308,6;1587;38,6;37,70341903731612;0,8965809626838848;124;Moderado (100-200 min);0
L;298,9;308,5;1559;34,3;39,05779572621781;-4,7577957262178145;126;Moderado (100-200 min);0
L;298,8;308,4;1473;41,1;43,221032937732886;-2,1210329377328847;128;Moderado (100-200 min);0
L;298,8;308,4;1737;27,7;30,434371486480565;-2,7343714864805655;130;Moderado (100-200 min);0
M;298,7;308,4;1441;43,2;44,75646025642706;-1,5564602564270587;132;Moderado (100-200 min);0
M;298,7;308,4;1430;49,6;45,28692036754237;4,3130796324576295;135;Moderado (100-200 min);0
L;298,8;308,4;1369;53,0;48,25009437459943;4,749905625400572;138;Moderado (100-200 min);0
M;298,8;308,5;1711;28,5;31,674839128112176;-3,1748391281121755;140;Moderado (100-200 min);0
H;298,7;308,5;1420;45,7;45,75403314436178;-0,05403314436177453;143;Moderado (100-200 min);0
L;298,7;308,6;1297;55,3;51,69583589289445;3,6041641071055466;148;Moderado (100-200 min);0
H;298,8;308,6;1449;49,4;44,34446337899817;5,055536621001828;150;Moderado (100-200 min);0
L;298,8;308,6;1268;55,8;53,10628732876117;2,6937126712388277;155;Moderado (100-200 min);0
L;298,8;308,6;1511;36,1;41,336627101213686;-5,236627101213685;157;Moderado (100-200 min);0
L;298,7;308,5;1544;35,2;39,73685737840133;-4,536857378401329;159;Moderado (100-200 min);0
M;298,6;308,4;1778;28,2;28,402933085842662;-0,20293308584266256;161;Moderado (100-200 min);0
H;298,6;308,4;1407;50,5;46,36769988904093;4,132300110959072;164;Moderado (100-200 min);0
M;298,6;308,4;1391;42,4;47,138799938265905;-4,738799938265906;169;Moderado (100-200 min);0
L;298,5;308,4;1513;33,6;41,216969888320335;-7,616969888320334;172;Moderado (100-200 min);0
H;298,5;308,4;1612;36,1;36,42103233760604;-0,32103233760604155;174;Moderado (100-200 min);0
L;298,4;308,4;1515;40,1;41,10356898161945;-1,003568981619452;179;Moderado (100-200 min);0
M;298,3;308,3;1379;48,0;47,68823767814604;0,311762321853962;181;Moderado (100-200 min);0
L;298,4;308,3;1473;39,9;43,14497408166738;-3,2449740816673796;184;Moderado (100-200 min);0
L;298,4;308,3;1422;42,7;45,613330985987645;-2,913330985987642;186;Moderado (100-200 min);0
M;298,4;308,2;1463;37,6;43,63741463650367;-6,037414636503669;188;Moderado (100-200 min);0
M;298,4;308,2;1584;41,0;37,77529562718856;3,2247043728114377;191;Moderado (100-200 min);0
L;298,4;308,2;1850;27,0;24,89102531134004;2,108974688659959;194;Moderado (100-200 min);0
L;298,4;308,2;1528;36,2;40,48354086442276;-4,283540864422754;196;Moderado (100-200 min);0
H;298,4;308,2;1987;19,8;18,2532966216255;1,5467033783745023;198;Moderado (100-200 min);0
M;298,4;308,1;1495;46,0;42,087585086777125;3,912414913222875;203;Alto (>200 min);0
H;298,4;308,2;1478;43,5;42,89745629747686;0,6025437025231426;206;Alto (>200 min);0
M;298,4;308,2;1499;40,0;41,876697047793314;-1,8766970477933143;211;Alto (>200 min);0
L;298,4;308,2;1471;47,0;43,23044386381254;3,769556136187461;214;Alto (>200 min);0
L;298,4;308,2;1282;60,7;52,38195166676461;8,318048333235396;216;Alto (>200 min);1
L;298,3;308,1;1412;52,3;46,084604863029895;6,215395136970102;218;Alto (>200 min);1
L;298,3;308,1;1586;35,5;37,82187322786156;-2,321873227861559;0;Bajo (0-100 min);0
M;298,4;308,2;1468;43,8;43,53507005441053;0,2649299455894649;2;Bajo (0-100 min);0
M;298,5;308,3;1440;43,6;44,88893860274303;-1,2889386027430305;5;Bajo (0-100 min);0
L;298,5;308,4;1733;26,0;30,685934606371333;-4,685934606371333;8;Bajo (0-100 min);0
H;298,4;308,2;1612;32,6;36,555334536011415;-3,9553345360114136;10;Bajo (0-100 min);0
H;298,4;308,3;1458;42,9;43,99842480525123;-1,0984248052512342;15;Bajo (0-100 min);0
L;298,4;308,3;1433;62,3;45,20538252177828;17,094617478221714;20;Bajo (0-100 min);1
L;298,4;308,3;1318;59,1;50,7731717269133;8,326828273086704;22;Bajo (0-100 min);0
M;298,4;308,2;1610;35,0;36,64166932267149;-1,6416693226714898;24;Bajo (0-100 min);0
L;298,2;308,1;1462;50,8;43,795447559474866;7,004552440525131;27;Bajo (0-100 min);0
M;298,1;308,0;1924;20,8;21,419795695263662;-0,6197956952636616;29;Bajo (0-100 min);0
M;298,2;308,0;1591;33,7;37,55555698078339;-3,8555569807833905;32;Bajo (0-100 min);0
L;298,2;308,1;1306;58,3;51,34430095114488;6,9556990488551165;35;Bajo (0-100 min);0
L;298,2;308,1;1382;43,5;47,662221883535885;-4,162221883535885;37;Bajo (0-100 min);0
L;298,2;308,1;1618;34,7;36,23156206389002;-1,5315620638900143;39;Bajo (0-100 min);0
L;298,2;308,2;1988;21,4;18,300305185796315;3,0996948142036835;41;Bajo (0-100 min);0
L;298,2;308,2;1436;50,2;45,03140556993203;5,168594430067969;43;Bajo (0-100 min);0
L;298,2;308,3;1304;49,8;51,41132080135401;-1,6113208013540117;45;Bajo (0-100 min);0
L;298,2;308,3;1475;49,9;43,128521912223114;6,7714780877768845;47;Bajo (0-100 min);0
H;298,2;308,3;1824;24,2;26,22542693645121;-2,025426936451211;49;Bajo (0-100 min);0
M;298,1;308,2;1342;48,1;49,56414669367031;-1,4641466936703083;54;Bajo (0-100 min);0
L;298,1;308,2;1485;40,7;42,63659783095013;-1,9365978309501273;57;Bajo (0-100 min);0
L;298,2;308,2;1667;30,6;33,83236642604693;-3,23236642604693;59;Bajo (0-100 min);0
L;298,2;308,2;1446;38,2;44,53359037940637;-6,333590379406367;61;Bajo (0-100 min);0
L;298,1;308,3;1301;56,0;51,53179538600112;4,4682046139988785;63;Bajo (0-100 min);0
L;298,2;308,4;1379;43,1;47,75298079130493;-4,652980791304927;65;Bajo (0-100 min);0
L;298,3;308,5;1606;33,6;36,7583003712744;-3,1583003712744;67;Bajo (0-100 min);0
M;298,3;308,4;1539;43,4;40,01267602941532;3,3873239705846814;69;Bajo (0-100 min);0
L;298,2;308,4;1477;49,9;43,00171384431215;6,898286155687849;72;Bajo (0-100 min);0
L;298,2;308,4;1666;34,6;33,847199620577115;0,7528003794228866;74;Bajo (0-100 min);0
H;298,2;308,4;1398;51,8;46,824569169847386;4,975430830152611;76;Bajo (0-100 min);0
H;298,2;308,4;1678;34,6;33,260794827804155;1,3392051721958467;81;Bajo (0-100 min);0
M;298,2;308,5;2678;10,7;-15,182753577021948;25,882753577021948;86;Bajo (0-100 min);1
L;298,3;308,5;1453;42,9;44,151345401103335;-1,251345401103336;89;Bajo (0-100 min);0
H;298,3;308,6;1432;49,5;45,15568273579973;4,344317264200271;91;Bajo (0-100 min);0
M;298,4;308,6;1527;40,9;40,56248729922935;0,3375127007706453;96;Bajo (0-100 min);0
L;298,4;308,7;1588;35,0;37,594925393311115;-2,594925393311115;99;Bajo (0-100 min);0
L;298,4;308,6;1433;47,1;45,1110204650723;1,9889795349277009;101;Moderado (100-200 min);0
L;298,4;308,6;1609;35,0;36,58607842744026;-1,5860784274402633;103;Moderado (100-200 min);0
L;298,3;308,5;1575;41,2;38,231026894543355;2,968973105456648;105;Moderado (100-200 min);0
M;298,4;308,5;1636;35,7;35,286659683368036;0,4133403166319667;107;Moderado (100-200 min);0
L;298,4;308,5;1490;37,9;42,35498480401445;-4,454984804014451;110;Moderado (100-200 min);0
L;298,4;308,5;1741;32,8;30,19789553886513;2,602104461134868;112;Moderado (100-200 min);0
M;298,5;308,6;1344;53,0;49,4226800517784;3,5773199482216;114;Moderado (100-200 min);0
L;298,5;308,7;1609;35,3;36,57567768701315;-1,2756776870131503;117;Moderado (100-200 min);0
M;298,4;308,7;1421;60,7;45,66747444933476;15,032525550665241;119;Moderado (100-200 min);1
L;298,4;308,6;1591;36,7;37,443513263325315;-0,7435132633253119;122;Moderado (100-200 min);0
L;298,4;308,6;1477;44,0;42,962873838760096;1,0371261612399039;124;Moderado (100-200 min);0
L;298,4;308,7;1523;36,1;40,72249298354106;-4,622492983541058;126;Moderado (100-200 min);0
L;298,5;308,7;1575;33,9;38,21398343966782;-4,3139834396678225;128;Moderado (100-200 min);0
H;298,4;308,7;1344;52,9;49,388211279099345;3,511788720900654;130;Moderado (100-200 min);0
L;298,4;308,7;1386;44,9;47,35045080571095;-2,4504508057109504;135;Moderado (100-200 min);0
M;298,3;308,6;1589;37,1;37,51781403385942;-0,41781403385942184;137;Moderado (100-200 min);0
L;298,3;308,6;1548;40,3;39,501133035981645;0,7988669640183517;140;Moderado (100-200 min);0
L;298,3;308,6;1499;38,3;41,87263268090145;-3,5726326809014495;142;Moderado (100-200 min);0
L;298,3;308,5;1664;31,6;33,8915662485889;-2,2915662485889;144;Moderado (100-200 min);0
L;298,3;308,6;1447;38,1;44,38791500453046;-6,287915004530461;146;Moderado (100-200 min);0
M;298,3;308,5;1434;46,2;45,02714465885894;1,1728553411410658;148;Moderado (100-200 min);0
L;298,3;308,5;1416;52,7;45,896605177875855;6,803394822124147;151;Moderado (100-200 min);0
H;298,4;308,5;1827;24,3;26,002217571619887;-1,7022175716198866;153;Moderado (100-200 min);0
L;298,4;308,6;1304;45,0;51,315472200244734;-6,315472200244734;158;Moderado (100-200 min);0
L;298,4;308,6;1569;34,4;38,48038211929219;-4,080382119292189;160;Moderado (100-200 min);0
L;298,3;308,6;1584;29,3;37,74116705246702;-8,44116705246702;162;Moderado (100-200 min);0
L;298,3;308,5;1362;53,8;48,50198031414366;5,298019685856339;164;Moderado (100-200 min);0
L;298,3;308,4;1329;49,2;50,10978256247674;-0,9097825624767353;166;Moderado (100-200 min);0
L;298,3;308,5;1539;36,1;39,9271064364199;-3,8271064364198963;168;Moderado (100-200 min);0
M;298,3;308,5;1629;37,1;35,56702655300768;1,5329734469923224;170;Moderado (100-200 min);0
L;298,3;308,5;1538;32,2;39,97177704014142;-7,771777040141416;173;Moderado (100-200 min);0
L;298,3;308,6;1570;34,8;38,409397000725605;-3,6093970007256075;175;Moderado (100-200 min);0
L;298,3;308,4;1408;43,1;46,27565315900537;-3,175653159005371;177;Moderado (100-200 min);0
L;298,2;308,4;1424;47,6;45,48800946247997;2,111990537520029;179;Moderado (100-200 min);0
L;298,2;308,4;1512;34,9;41,224786838468205;-6,324786838468206;181;Moderado (100-200 min);0
L;298,2;308,4;1478;42,9;42,86985703788456;0,030142962115441208;183;Moderado (100-200 min);0
M;298,1;308,3;1680;33,7;33,08564889573326;0,6143511042667456;185;Moderado (100-200 min);0
L;298,1;308,3;1495;38,7;42,04269057468866;-3,3426905746886604;188;Moderado (100-200 min);0
M;298,0;308,1;1552;36,6;39,29179441768773;-2,6917944176877313;190;Moderado (100-200 min);0
L;297,9;308,1;1393;50,3;46,978409313506916;3,3215906864930815;193;Moderado (100-200 min);0
L;298,0;308,2;1611;30,6;36,41958656077847;-5,819586560778468;195;Moderado (100-200 min);0
M;298,0;308,1;1339;51,6;49,60183130746662;1,9981686925333833;197;Moderado (100-200 min);0
L;298,0;308,1;1777;24,3;28,38783668317846;-4,087836683178459;200;Moderado (100-200 min);0
L;298,0;308,2;1348;58,8;49,15105493556888;9,648945064431118;202;Alto (>200 min);1
L;298,0;308,2;1442;44,1;44,59726053335574;-0,4972605333557354;204;Alto (>200 min);0
M;298,0;308,2;1395;49,1;46,87190291887508;2,228097081124922;206;Alto (>200 min);0
M;297,9;308,1;1627;31,4;35,63408428052112;-4,234084280521124;209;Alto (>200 min);0
L;297,9;308,1;1585;33,5;37,66583191234357;-4,16583191234357;212;Alto (>200 min);0
L;298,0;308,2;1469;45,5;43,28217147949209;2,217828520507908;214;Alto (>200 min);0
L;298,0;308,3;1362;56,8;48,451370968408305;8,348629031591692;216;Alto (>200 min);1
L;298,0;308,3;1405;56,2;46,36743668090691;9,83256331909309;218;Alto (>200 min);1
L;298,0;308,3;1662;32,7;34,08512878061945;-1,3851287806194463;0;Bajo (0-100 min);0
M;298,0;308,2;1466;42,6;43,58679767009009;-0,9867976700900911;2;Bajo (0-100 min);0
L;298,0;308,2;1620;35,8;36,126533880667374;-0,32653388066737676;5;Bajo (0-100 min);0
L;298,0;308,2;1357;48,2;48,861760281436496;-0,6617602814364929;7;Bajo (0-100 min);0
L;298,0;308,2;1514;37,9;41,25696220810883;-3,3569622081088326;9;Bajo (0-100 min);0
L;298,0;308,2;1489;40,4;42,46617474022311;-2,0661747402231114;11;Bajo (0-100 min);0
L;298,1;308,3;1331;63,0;50,11651675478131;12,883483245218692;13;Bajo (0-100 min);0
L;298,0;308,0;1615;29,5;36,38348233444502;-6,88348233444502;15;Bajo (0-100 min);0
L;298,1;308,2;1482;37,9;42,8119479278805;-4,9119479278805045;17;Bajo (0-100 min);0
M;298,1;308,2;1420;63,9;45,81301975890331;18,08698024109669;19;Bajo (0-100 min);1
M;298,2;308,3;1522;49,1;40,871166446205834;8,228833553794168;22;Bajo (0-100 min);0
L;298,1;308,2;1654;32,1;34,47621077787493;-2,376210777874931;25;Bajo (0-100 min);0
M;298,1;308,2;1736;26,8;30,503559932064555;-3,703559932064554;27;Bajo (0-100 min);0
M;298,0;308,1;1587;32,3;37,717049209498384;-5,417049209498387;30;Bajo (0-100 min);0
L;298,1;308,2;1390;47,5;47,25535617716983;0,24464382283017017;33;Bajo (0-100 min);0
L;298,0;308,1;1454;37,1;44,154298933650324;-7,054298933650323;35;Bajo (0-100 min);0
H;298,0;308,1;1440;43,7;44,830796539062064;-1,130796539062061;37;Bajo (0-100 min);0
L;297,9;308,0;1954;21,1;19,93460111485164;1,1653988851483597;42;Bajo (0-100 min);0
H;297,9;308,0;1800;24,8;27,391106878295645;-2,591106878295644;44;Bajo (0-100 min);0
L;298,0;308,0;1524;37,0;40,764933060510764;-3,7649330605107636;49;Bajo (0-100 min);0
H;298,0;308,0;1520;39,6;40,957144368920204;-1,3571443689202027;51;Bajo (0-100 min);0
M;298,1;308,1;1452;40,8;44,24665489487043;-3,4466548948704343;56;Bajo (0-100 min);0
L;298,1;308,1;1484;40,4;42,69468392887583;-2,294683928875834;59;Bajo (0-100 min);0
L;298,1;308,0;1426;46,0;45,513201919714675;0,48679808028532534;61;Bajo (0-100 min);0
L;298,1;308,0;1652;28,5;34,566828397071106;-6,066828397071106;63;Bajo (0-100 min);0
L;298,0;308,0;1401;54,7;46,709628830507235;7,990371169492768;65;Bajo (0-100 min);0
M;298,0;307,9;1750;26,6;29,81769453335229;-3,21769453335229;67;Bajo (0-100 min);0
H;298,0;308,0;1479;50,7;42,92843768791055;7,771562312089451;70;Bajo (0-100 min);0
M;298,0;308,0;1620;29,4;36,09624287419935;-6,696242874199349;75;Bajo (0-100 min);0
L;298,0;308,1;1819;23,4;26,44553006964931;-3,0455300696493097;78;Bajo (0-100 min);0
M;298,1;308,1;1456;43,7;44,0349018513717;-0,33490185137169703;80;Bajo (0-100 min);0
L;298,1;308,0;1626;36,5;35,81094066536226;0,68905933463774;83;Bajo (0-100 min);0
